Title,Description
#41(jury) Badge Pas encore evalue style,Creer le badge Pas encore evalue avec icone sablier et couleur gris sur les avis des jures
#42(jury) Detail film titre realisateur pays annee,Afficher le titre du film en grand + prenom nom realisateur + pays + annee sous les avis
#43(jury) Detail film tags outils IA,Afficher les tags IMAGE IA et les noms des outils utilises (Runway ML / Sora / MusicGen) en pastilles
#44(jury) Detail film specs techniques,Afficher les specs DUREE / FORMAT / SOUS-TITRES / COPYRIGHT en 4 colonnes sous les tags
#45(jury) Spec duree film,Afficher la duree du film en format 00:59.8 dans la colonne DUREE
#46(jury) Spec format video,Afficher le format MP4 1080p dans la colonne FORMAT
#47(jury) Spec sous-titres avec validation,Afficher le code langue FR avec icone check dans la colonne SOUS-TITRES
#48(jury) Spec copyright verifie,Afficher le label Verifie avec icone check dans la colonne COPYRIGHT
#49(jury) Section Fiche IA details obligatoires,Creer la section FICHE IA avec le label DETAILS OBLIGATOIRES et les 3 sous-sections
#50(jury) Fiche IA sous-section SCENARIO,Afficher les outils IA utilises pour le scenario (ex: ChatGPT-4o / Claude) sous le label SCENARIO
#51(jury) Fiche IA sous-section IMAGE VIDEO,Afficher les outils IA utilises pour les images/video (ex: Runway ML Gen-3 / Sora) sous le label IMAGE / VIDEO
#52(jury) Fiche IA sous-section POST-PRODUCTION,Afficher les outils IA utilises en post-prod (ex: MusicGen / ElevenLabs / Firefly) sous le label POST-PRODUCTION
#53(jury) Section Note de demarche creative,Creer la section NOTE DE DEMARCHE CREATIVE avec le texte libre du realisateur en italic
#54(jury) Section Decisions du jury liste,Creer la section DECISIONS DU JURY avec la liste de tous les jures + leur badge de vote + leur commentaire
#55(jury) Ligne decision jure avec badge vote,Afficher par jure son avatar + nom + titre + badge de vote (VALIDE / A REVOIR / EN ATTENTE) + commentaire
#56(jury) Badge decision VALIDE sur ligne jure,Creer le badge VALIDE en vert sur les lignes jures dans la section Decisions du jury
#57(jury) Badge decision A REVOIR sur ligne jure,Creer le badge A REVOIR en orange sur les lignes jures dans la section Decisions du jury
#58(jury) Badge decision EN ATTENTE sur ligne jure,Creer le badge EN ATTENTE en gris sur les jures n'ayant pas encore vote dans Decisions du jury
#59(jury) Section Commentaires du jury liste,Creer la section COMMENTAIRES DU JURY avec les commentaires de chaque jure + badge + indication Moi
#60(jury) Modal Demande de revision overlay,Creer la modal Demande de revision avec fond sombre semi-transparent et icone fleche retour
#61(jury) Modal revision header titre,Afficher le titre Demande de revision dans l'en-tete de la modal
#62(jury) Modal revision label film concerne,Afficher la pastille avec le nom du film concerne dans la modal revision
#63(jury) Modal revision section Raison checkboxes,Creer la section RAISON avec les checkboxes : Droits musicaux / Qualite / Contenu / YouTube / Autre
#64(jury) Modal revision textarea Votre message,Creer le champ VOTRE MESSAGE avec textarea et placeholder dans la modal revision
#65(jury) Modal revision bouton Annuler,Creer le bouton Annuler avec fond sombre dans la modal revision
#66(jury) Modal revision bouton Marquer a revoir,Creer le bouton Marquer a revoir avec fleche et fond jaune dans la modal revision
#67(jury) Modal Notification de refus overlay,Creer la modal Notification de refus avec fond sombre et bouton fermer X
#68(jury) Modal refus header titre et info,Afficher le titre Notification de refus + le texte explicatif sur l'envoi du message au realisateur
#69(jury) Modal refus label film concerne,Afficher la pastille avec le nom du film dans la modal refus
#70(jury) Modal refus checkboxes raison,Creer les memes checkboxes Raison que la modal revision dans la modal refus
#71(jury) Modal refus label MESSAGE AU REALISATEUR,Afficher le label MESSAGE AU REALISATEUR au-dessus du textarea
#72(jury) Modal refus textarea message personnalise,Creer le textarea avec le message prefill Madame Monsieur + texte sur la decision du jury
#73(jury) Modal refus bouton Annuler,Creer le bouton Annuler dans la modal refus
#74(jury) Modal refus bouton Confirmer le refus,Creer le bouton Confirmer le refus avec icone croix et fond rouge dans la modal refus
#75(jury) Vue A discuter liste films avec compteurs,Creer la vue A discuter avec la liste des films marques et le compteur de jures ayant commente
#76(jury) Vue A discuter player video integre,Afficher le player video dans la vue A discuter avec les memes controles que la vue principale
#77(jury) Section Note du realisateur,Afficher la section NOTE DU REALISATEUR avec le texte long en italique dans la vue A discuter
#78(jury) Section Outils IA utilises badges,Creer la section OUTILS IA UTILISES avec les lignes Scenario / Image / Post-prod / Global et leurs badges outils
#79(jury) Section Votes et commentaires jury dans A discuter,Afficher la liste des jures avec leur badge de vote et commentaire dans la vue A discuter
#80(jury) Barre Decision de groupe,Creer la barre DECISION DE GROUPE en bas avec les 3 boutons Valider / A revoir / Refuser et les compteurs de votes
#81(jury) Bouton Valider dans decision de groupe,Afficher le bouton Valider avec le compteur de votes pour dans la barre decision de groupe
#82(jury) Bouton A revoir dans decision de groupe,Afficher le bouton A revoir avec le compteur dans la barre decision de groupe
#83(jury) Bouton Refuser dans decision de groupe,Afficher le bouton Refuser avec le compteur dans la barre decision de groupe
#84(jury) Page Deliberation header et sous-titre,Creer le header Deliberation - Top 5 Finalistes + sous-titre Phase 2 + description
#85(jury) Page Deliberation bouton Exporter palmares CSV,Afficher le bouton Exporter palmares CSV en haut a droite de la page Deliberation
#86(jury) Profil jure connecte avec indicateur,Afficher le profil du jure connecte avec un point vert indicateur de connexion en temps reel
#87(jury) Barre progression votes utilises,Creer la barre de progression votes utilises (ex: 4 sur 5) avec couleur jaune et message votes restants
#88(jury) Section Participation du jury avatars et ratios,Afficher la liste des membres du jury avec leur avatar + nom tronque + ratio votes utilises (ex: 4/5)
#89(jury) Titre section films Top 50 admin,Afficher le titre 10 FILMS - TOP 50 SELECTIONNE PAR L'ADMIN au-dessus de la liste de deliberation
#90(jury) Item film deliberation avec rang et titre,Creer chaque item film avec le numero de rang en grand + titre + realisateur + pays
#91(jury) Badge FINALISTE sur item film deliberation,Afficher le badge FINALISTE en vert sur les films ayant atteint le seuil de votes pour etre finaliste
#92(jury) Barre de votes horizontale par film,Afficher la barre de progression horizontale representant le cumul des votes sur chaque film
#93(jury) Compteur votes sur film et total possible,Afficher le ratio votes recus sur votes possibles (ex: 4/5) a droite de la barre de votes
#94(jury) Avatars jures ayant vote sur le film,Afficher les avatars superposes des jures qui ont vote sur chaque film dans la liste deliberation
#95(jury) Bouton Voter sur film non vote,Afficher le bouton Voter avec icone etoile sur les films que le jure n'a pas encore votes
#96(jury) Bouton Retirer sur film vote,Afficher le bouton Retirer sur les films sur lesquels le jure a deja vote
#97(jury) Bouton Vote decisif en evidence,Afficher le bouton Vote decisif avec style special (fond dore / badge) sur les films en ballottage necessitant un vote supplementaire
#98(jury) Classement LIVE colonne droite,Creer la colonne CLASSEMENT LIVE a droite avec la liste ordonnee des films par nombre de votes en temps reel
#99(jury) Item classement live rang titre et etoile,Afficher par item dans le classement live : le rang numerique + le titre du film + icone etoile si finaliste + compteur votes
#100(jury) Classement live separateur hors selection,Afficher le separateur hors selection entre les films qui passent et ceux qui ne passent pas dans le classement live
